classes,filename,stream_index,sni,len1,len2,len3,len4,len5,len6,len7,len8,len9,len10,len11,len12,len13,len14,len15,len16,len17,len18,len19,len20,len21,len22,len23,len24,len25,len26,len27,len28,len29,len30
www.news.cn,www.news.cn.json,15,www.news.cn,0,0,0,517,0,4096,0,1034,0,93,565,258,222,0,550,221,548,219,559,0,230,0,0,0,0,31,0,0,0,0
www.news.cn,www.news.cn.json,16,www.news.cn,0,0,0,517,0,4096,0,1034,0,93,258,565,222,0,607,218,0,605,216,0,565,222,0,0,0,0,31,0,0,0
www.news.cn,www.news.cn.json,18,www.news.cn,0,0,0,517,0,4096,0,1034,0,93,550,258,221,0,547,218,0,553,224,0,553,224,624,235,0,0,0,31,0,0
www.news.cn,www.news.cn.json,17,www.news.cn,0,0,0,517,0,1452,0,2644,0,1034,0,93,553,258,224,0,547,218,540,211,564,235,0,565,222,0,540,211,0,605
www.news.cn,www.news.cn.json,19,www.news.cn,0,0,0,517,0,1452,0,2644,0,1034,0,93,549,258,220,0,624,235,0,567,224,0,0,0,0,31,0,0,0,0
www.news.cn,www.news.cn.json,20,www.news.cn,0,0,0,517,0,4096,0,1034,0,93,553,258,224,0,548,219,553,224,0,549,220,0,547,218,607,218,0,0,0,0
www.news.cn,www.news.cn.json,34,www.news.cn,0,0,0,517,0,156,0,51,565,0,222,607,218,624,235,0,565,222,0,564,235,0,550,221,0,540,211,624,235,0
www.news.cn,www.news.cn.json,33,www.news.cn,0,0,0,517,0,156,0,51,553,0,224,547,218,0,553,224,0,548,219,607,218,605,216,0,565,222,0,547,218,547
www.news.cn,www.news.cn.json,35,www.news.cn,0,0,0,517,0,156,0,51,549,0,220,540,211,0,550,221,0,553,224,0,549,0,220,0,565,0,222,0,547,218
www.news.cn,www.news.cn.json,36,www.news.cn,0,0,0,517,0,156,0,51,565,0,222,547,218,564,235,605,216,0,565,222,0,547,218,624,235,0,553,224,0,553
www.news.cn,www.news.cn.json,37,www.news.cn,0,0,0,517,0,156,0,51,550,0,221,548,219,0,553,224,0,547,218,0,553,224,0,548,219,564,235,605,216,0
www.news.cn,www.news.cn.json,38,www.news.cn,0,0,0,517,0,156,0,51,553,0,224,553,224,0,549,220,0,540,0,211,0,565,0,222,0,565,0,222,0,550
www.news.cn,www.news.cn.json,48,www.news.cn,0,0,0,517,0,156,0,51,0,550,0,221,540,211,605,216,0,565,222,0,564,235,605,216,0,561,218,0,548,219
www.news.cn,www.news.cn.json,50,www.news.cn,0,0,0,517,0,156,0,51,0,550,0,221,548,219,624,235,0,552,209,0,551,222,0,550,221,0,540,211,0,607
www.news.cn,www.news.cn.json,51,www.news.cn,0,0,0,517,0,156,0,51,0,553,0,224,547,218,0,553,224,0,547,218,0,553,224,0,548,219,0,624,235,0
www.news.cn,www.news.cn.json,53,www.news.cn,0,0,0,517,0,156,0,51,0,553,0,224,548,219,0,553,224,0,547,218,0,553,224,0,547,218,605,216,0,565
www.news.cn,www.news.cn.json,54,www.news.cn,0,0,0,517,0,156,0,51,564,0,235,607,218,0,565,222,0,553,224,0,624,235,0,565,222,0,540,211,605,216
www.news.cn,www.news.cn.json,61,www.news.cn,0,0,0,517,0,156,0,51,565,0,222,549,220,0,565,222,0,553,224,0,540,211,0,553,224,0,549,220,547,218
www.news.cn,www.news.cn.json,62,www.news.cn,0,0,0,517,0,156,0,51,565,0,222,550,221,547,218,548,219,553,224,564,235,607,218,624,235,605,216,0,565,222
www.news.cn,www.news.cn.json,60,www.news.cn,0,0,0,517,0,156,0,51,553,0,224,553,224,540,211,547,218,0,567,224,0,550,221,548,219,559,230,624,235,0
www.news.cn,www.news.cn.json,68,www.news.cn,0,0,0,517,0,156,0,51,565,0,222,549,220,547,218,548,219,553,224,607,218,0,624,235,0,605,216,0,565,222
www.news.cn,www.news.cn.json,67,www.news.cn,0,0,0,517,0,156,0,51,565,0,222,553,224,540,211,547,218,564,235,0,565,222,0,549,220,547,218,0,553,224
www.news.cn,www.news.cn.json,66,www.news.cn,0,0,0,517,0,156,0,51,553,0,224,550,221,0,553,224,0,553,224,548,219,0,540,211,0,547,218,607,218,0
www.news.cn,www.news.cn.json,73,www.news.cn,0,0,0,517,0,156,0,51,565,0,222,553,224,540,211,547,218,607,218,624,235,605,0,216,0,565,0,222,0,550
www.news.cn,www.news.cn.json,74,www.news.cn,0,0,0,517,0,156,0,51,565,0,222,549,220,547,218,548,219,553,224,564,235,0,567,224,0,553,224,553,224,548
www.news.cn,www.news.cn.json,75,www.news.cn,0,0,0,517,0,156,0,51,553,0,224,550,221,0,565,222,0,549,220,547,218,0,605,216,0,565,222,0,553,224
www.news.cn,www.news.cn.json,82,www.news.cn,0,0,0,517,0,156,0,51,565,0,222,549,220,547,218,548,219,547,218,0,553,224,0,549,220,540,211,564,235,624
www.news.cn,www.news.cn.json,83,www.news.cn,0,0,0,517,0,156,0,51,565,0,222,550,221,553,224,564,235,0,565,222,0,553,224,547,218,553,224,607,218,0
